Kanji,Meaning
狂,"Crazy, mad (about)"
獄,Prison
非,"Is not, non-, un-, wrong"
排,"1. Exclude, reject    2. Discharge, excrete"
俳,"Haiku, actor"
罪,"Crime, sin"
罰,Punishment
伴,Accompany
判,"1. Judge, decide    2. Personal seal"
評,"Comment, evaluate"
批,"Criticise, comment"
帥,Commander in chief
師,"Master, teacher"
座,1. Seat    2. Sit
坐,Sit
卒,"1. Graduate, come to an end    2. Private, soldier"
率,"1. Rate, proportion    2. Lead, command"
傘,Umbrella
笠,Bamboo hat
星,Star
汁,1. Juice    2. Soup
斗,1. Dipper    2. To (18 litres)
料,1. Fee    2. Materials
科,Subject of study
然,"1. -Like, -ly (modifier-forming suffix)    2. So, in that way"
燃,Burn
黙,"Silent, tacit"
獣,Beast
猟,Hunting
漁,Fishing
狩,Hunt
猛,"Ferocious, intensive"
煙,Smoke
焼,"Burn, roast"
暁,Dawn
旧,"Former, old"
児,Child
亦,Also
赤,Red
変,"1. Change, variation    2. Abnormal"
蛮,Barbarian
恋,(romantic) Love
愛,Love
憂,"1. Be anxious, worry    2. Grief"
優,1. Superior    2. Actor    3. Kind
栗,Chestnut
票,1. Slip of paper    2. Ballot
標,"Mark, labet, sign"
漂,"Drift, float"
遷,Transfer
各,"Each, every, all; various"
客,1. Visitor    2. Customer
路,"Road, way"
格,"1. Norm, standard    2. Status, rank    3. Character"
絡,1. Interlink    2. Entwine
略,"1. Leave out, abrdige    2. Strategy; seize"
閣,1. Stately building    2. Cabinet (of a government)
落,"Fall, fail"
南,South
西,West
酉,(sign of) The Rooster
酒,Alcoholic drink
洒,"Sprinkle, wash"
配,"1. Distribute    2. Put in order, manage"
酸,1. Acid    2. Oxygen
猶,Delay
尊,"Honor, esteem"
遵,Obey
導,"Guide, conduct"
敬,"Respect, revere"
警,1. Guard against    2. Warn
驚,Surprise
散,"Scatter, disperse; unrestrained"
敢,Boldly
厳,1. Severe    2. Solemn
仏,Buddha
払,1. Clear away    2. Pay
拡,"Enlarge, widen"
可,"1. Possible, -able; worthy of    2. Approve"
何,"1. What    2. How many, several"
苛,Torment; severe
荷,"Load, cargo"
河,River
阿,Phonetic [a]
司,"Officiate, administer"
伺,"Inquire, pay a visit"
詞,Words
飼,Raise animals
冊,Counter for books
嗣,Heir
覗,"Peek, come into view"
歌,1. Song    2. Japanese poem
唄,Ditty
負,1. Bear    2. Lose
敗,Be defeated
責,1. Responsibility    2. Blame
積,Accumulate
債,1. Debt    2. Bond
漬,"Pickle, immerse"
紡,"Spin, make yarn"
績,Achievements; spin thread
具,"Implement, tool"
真,"True, genuine"
直,"1. Straight, direct, upright    2. Put straight, correct"
植,Plant
殖,Multiply
値,"Value, worth"
置,"Place, put in place; leave in place"
県,Prefecture
州,"1. State, province    2. Sandbar"
洲,Sandbar
接,"Contact, join, meet"
継,"Succeed, follow"
断,"1. Cut off, refuse    2. Decide, resolve"
応,"Respond, correspond"
床,1. Bed    2. Floor
麻,1. Hemp    2. Become numb
歴,Personal history
暦,Calendar
臨,1. Attend (to)    2. Confront
園,Garden
遠,Distant
与,"1. Give, grant    2. Take part in"
写,Copy
移,"Move, shift"
卸,Wholesale
御,General honorific term
複,"Compound, double, duplicate"
腹,Belly
復,"Return to, repeat"
往,"Go on, proceed; pass away"
柱,"Pillar, maistay"
征,"Conquer, invade"
従,"Follow, obey"
徒,"1. Follower, pupil    2. Fellow(s)    3. Going on foot"
縦,Vertical
延,1. Extend    2. Postpone
伸,"Stretch, grow"
紳,Gentleman
縮,"Shrink, curl up"
誕,Be born
廷,Court
庭,1. Courtyard    2. Garden
艇,Boat
展,"1. Unfold, develop    2. Display"
殿,1. Palace    2. Formal honorific title
異,Different
翼,Wing
累,1. Cumulate    2. Encumber
塁,1. Base    2. Small fort
吏,Official
使,"1. Use    2. Envoy, dispatch"
史,History
更,"1. Renew, replace    2. Furthermore    3. Grow late"
便,"1. Convinient    2. Postal delivery, transportation service, flight    3. Excreta"
硬,Hard
能,1. Ability; function    2. Noh drama
態,"1. State, condition    2. Posture, attitude"
熊,Bear
罷,Discontinue
羅,"1. Line up, arrange    2. Phonetic [ra]"
雲,Cloud
曇,Cloudy
雪,Snow
雷,Thunder
零,Zero
震,"Quake, tremble"
振,"Swing, wave, wield, pretend"
久,Of long duration
賑,Flourishing; be bustling
丘,Hill
兵,Soldier
岳,"High mountain, peak"
浜,Beach
舎,"Hut, building"
再,Another time
虎,Tiger
寅,(sign of) The Tiger
演,Perform
黄,Yellow
横,"1. Sideways, across    2. Arbitrary, despotic"
構,"1. Construct, frame    2. Mind, care about"
講,Lecture
購,Purchase
溝,"Channel, ditch"
仮,"1. Temporary, provisional    2. Fake"
片,1. Fragment    2. One of two
版,"1. Printing plate    2. Publishing, printing"
板,1. Board    2. Plate
販,Engage in sales
義,"1. Rightewouness    2. Meaning, sense    3. Substitute, artificial"
議,1. Discuss    2. Legislative body
儀,"Ceremony, rite"
犠,Sacrifice
牲,Sacrifice
旨,"Purport, gist, aim"
指,1. Finger    2. Point (out)
揮,"Brandish, wave"
輝,Shine brilliantly
刺,"Pierce, stab"
策,"1. Scheme, plan    2. Measure"
差,"Divergence, difference"
着,"1. Put on (clothes)    2. Arrive    3. Stick, adhere"
看,"Observe, keep an eye on"
到,Arrive
倒,Topple
論,"1. Argue, discuss    2. Theory, view"
倫,Morals
輪,1. Wheel    2. Ring
輸,Transport
諭,"Admonish, instruct"
愉,Pleased
癒,"Heal, soothe"
台,"1. Stand, pedestal, platform    2. Counter for machines and vehicles    3. Taiwan"
治,"1. Govern, bring under control    2. Cure"
冶,Work metals
療,"Treat, medicate"
僚,"Colleague, official"
瞭,Clear
寮,Dormitory
始,Begin
終,End
了,1. Finish    2. Comprehend
承,"1. Agree, be told    2. Receive"
蒸,"Steam, be steamed"
舞,Dance
隣,Neighbour
瞬,Blink; instant
夢,Dream
枝,Branch
技,"Skill, craft"
伎,Performance
岐,"Diverge, fork"
峠,"Mountain, pass"
阜,Mound
急,1. Urgent    2. Hurry    3. Sudden
争,"Contend, struggle for"
情,"1. Emotion, feeling    2. Actual conditions"
清,"Clear, pure"
晴,Clear sky
精,"1. Refined; precise, meticulous    2. Essence    3. Spirit"
請,Request
静,"Quiet, still"
浄,"Clean, pure"
算,Calculate
答,Answer
符,"Symbol, mark; tally stick"
博,"1. Extensive (knowledge)    2. Doctor, PhD"
縛,"Bind, restrain"
簿,Record book
薄,"Thin, scanty"
采,Gather
菜,Vegetable
採,1. Pick    2. Gather
彩,Beautiful colouring
杉,"Cryptomeria, Japanese cedar"
街,"City quarter, city street"
術,"Practical art, technique"
述,"State, nation"
余,"1. Remaining, left over    2. Excess"
除,Rid of
徐,Slowly
叙,"Describe, explain"
斜,Oblique
途,"Way, road"
塗,"Apply on a surface, paint"
漆,Lacquer
仙,"Hermit, immortal mountain fairy"
垂,"Hang down, dangle"
乗,Ride; get on
兼,"1. Combine    2. Cannot, find it difficult to"
剰,Surplus
睡,Sleep
眠,Sleep
郵,Mail
錘,Spindle
華,1. Flower    2. Magnificent    3. China
侵,"Invade, violate"
浸,"Soak, immerse"
寝,Go to sleep
掃,Sweep (away)
婦,"Adult woman, wife"
帰,Return (home)
戻,"Return, give back"
涙,Tear
射,"Shoot, radiate"
謝,1. Thank    2. Apologise
討,"1. Study, examine    2. Suppress by armed force"
訂,"Revise, correct"
打,"Strike, (emphatic verb prefix)"
撃,"Strike, attack; shoot"
拭,Wipe
試,"Try, test"
検,"Examine, investigate"
験,"Test, examine"
険,1. Dangerous    2. Steep
倹,Frugal
剣,Sword
谷,Valley
欲,Desire
浴,Bathe
容,"1. Countenance, appearance    2. Contain, accommodate"
溶,1. Dissolve    2. Melt
俗,"Popular, vulgar"
裕,Abundant
寛,Lenient
甘,Sweet
紺,Dark blue
紅,Crimson
攻,Attack
功,"Merit(s), achievement"
巧,"Skillful, ingeneous"
朽,Decay
枯,Wither
汚,"Dirty, defile"
升,Sho (1.8 litres)
弁,"1. Speak, argue    2. Manage    3. Valve"
昇,"Ascend, rise in rank"
登,"1. Ascend, climb    2. Attend, appear    3. Register"
澄,Limpid
充,1. Fill    2. Allot
銃,"Gun, rifle"
統,"1. Unite, rifle    2. Interconnected system"
流,1. Flow    2. Current    3. Style
硫,Sulphur
盲,Blind
忘,Forget
忙,Busy
荒,"Wild, barren; devastated, ruined"
慌,"Flurried, hurried"
望,1. Hope    2. Look afar
希,1. Rare    2. Aspire
稀,Rare
括,Lump together
拘,Arrest
拾,Pick up
捨,Discard
孤,Solitary
弧,Arc
弾,"1. Projectile, bullet    2. Spring back; play on (stringed instruments)"
禅,Zen
系,"1. System, interrelated group    2. Lineage, descent"
係,"1. Connect, relate to    2. Person in charge"
孫,Grandchild
懸,Suspend
偏,"One-sided, partial"
遍,"1. All over, everywhere    2. Counter for times"
編,"1. Compile, edit    2. Knit"
篇,"Volume; cahpter, part"
普,"Wide spread, common"
譜,Systematic record; musical score
職,"Employment, post"
織,Weave
識,"1. Discriminate, discern    2. Knowledge, learning"
殉,Die a martyr
退,Retreat
眼,Eye
智,"Wisdom, intelligence"
仁,Humaneness
忍,"Bear, endure; perform by stealth"
認,"Recognise, admit"
求,Seek
救,"Save, rescue"
球,"Ball, globe"
屯,Station troops
純,Pure
鈍,Dull
召,Summon
招,Invite
沼,Muddy pond
紹,Introduce
詔,Imperial edict
勅,Imperial decree
